PolicyOrCustomerNumber,UserName ,Password
SeguAIOSmart01,PortoSmart01,PortoSmart01!
SeguAIOSmart02,PortoSmart02,PortoSmart02!
SeguAIOSmart03,PortoSmart03,PortoSmart03!
SeguAIOSmart04,PortoSmart04,PortoSmart04!
SeguAIOSmart05,PortoSmart05,PortoSmart05!
SeguAIOSmart06,PortoSmart06,PortoSmart06!
SeguAIOSmart07,PortoSmart07,PortoSmart07!
SeguAIOSmart08,PortoSmart08,PortoSmart08!
SeguAIOSmart09,PortoSmart09,PortoSmart09!
SeguAIOSmart10,PortoSmart10,PortoSmart10!
SeguAIOSmart11,PortoSmart11,PortoSmart11!
SeguAIOSmart12,PortoSmart12,PortoSmart12!
SeguAIOSmart13,PortoSmart13,PortoSmart13!
SeguAIOSmart14,PortoSmart14,PortoSmart14!
SeguAIOSmart15,PortoSmart15,PortoSmart15!
SeguAIOSmart16,PortoSmart16,PortoSmart16!
SeguAIOSmart17,PortoSmart17,PortoSmart17!
SeguAIOSmart18,PortoSmart18,PortoSmart18!
SeguAIOSmart19,PortoSmart19,PortoSmart19!
SeguAIOSmart20,PortoSmart20,PortoSmart20!
SeguAIOSmart21,PortoSmart21,PortoSmart21!
SeguAIOSmart22,PortoSmart22,PortoSmart22!
SeguAIOSmart23,PortoSmart23,PortoSmart23!
SeguAIOSmart24,PortoSmart24,PortoSmart24!
SeguAIOSmart25,PortoSmart25,PortoSmart25!
SeguAIOSmart26,PortoSmart26,PortoSmart26!
SeguAIOSmart27,PortoSmart27,PortoSmart27!
SeguAIOSmart28,PortoSmart28,PortoSmart28!
SeguAIOSmart29,PortoSmart29,PortoSmart29!
SeguAIOSmart30,PortoSmart30,PortoSmart30!
